0,10,26,1,1835,4,259,257,679
0,10,14,5,2341,8,258,75,1964
0,2,31,7,1027,15,125,105,146
0,2,13,5,1823,22,81,63,310
1,3,7,3,2059,11,20,166,761
0,5,27,6,1045,21,133,176,441
0,1,6,6,718,15,190,161,1756
0,2,31,1,2135,20,222,212,325
1,5,3,6,1904,17,170,213,466
0,3,23,4,1508,7,139,65,321
0,3,7,3,1036,8,267,82,391
0,3,9,4,754,4,17,155,571
0,8,4,5,1625,22,229,139,489
0,5,2,5,1046,5,154,285,1005
0,6,3,5,920,9,20,4,146
0,2,5,5,1109,14,249,263,417
1,9,20,1,1739,6,20,139,689
1,5,13,7,1325,19,107,138,901
0,11,19,5,1050,2,83,153,919
0,3,13,1,1748,6,139,139,1190
0,2,6,6,1927,19,82,88,589
1,8,2,3,825,16,75,48,410
0,7,1,6,1631,20,39,65,728
0,4,21,4,654,4,167,257,965
0,7,21,5,2010,4,264,257,697
1,9,4,1,1618,21,249,222,304
0,5,31,4,1640,21,222,270,338
0,6,30,3,1534,22,99,234,284
0,10,5,3,757,6,26,139,1507
1,7,7,5,1405,11,201,20,906
0,4,18,1,1140,21,222,202,1301
0,2,25,2,1630,14,39,238,612
0,8,26,4,1152,15,250,184,625
0,11,28,7,1207,22,75,139,871
1,1,17,1,2004,11,251,20,215
0,4,22,4,1551,22,140,261,192
0,10,2,1,1713,17,209,266,866
1,9,15,3,850,21,264,159,386
0,11,16,2,1040,9,20,108,273
1,9,14,2,811,9,262,20,552
0,7,8,6,1707,19,22,82,775
0,2,25,1,1553,5,167,138,2277
1,2,6,5,1315,4,249,257,1050
1,12,9,6,642,2,213,107,1182
0,7,31,6,1251,15,222,89,1671
1,7,16,6,1023,17,38,258,522
0,9,7,3,917,11,20,190,669
1,4,6,3,1630,21,182,152,666
0,10,28,3,852,17,259,198,77
0,12,13,3,728,14,249,161,109
0,5,28,7,950,21,249,263,417
0,3,29,1,651,10,178,82,533
0,11,3,5,906,23,222,210,1037
1,6,8,3,1659,8,20,161,1946
0,5,1,3,920,11,20,99,745
0,8,6,6,1942,8,83,20,732
0,7,27,2,1725,21,209,222,833
0,10,1,6,1452,22,245,99,246
1,2,2,2,2024,20,221,258,2521
0,12,8,5,1753,6,89,139,1076
0,8,30,1,610,21,133,249,192
0,6,5,7,620,17,230,266,521
0,2,31,7,1105,21,286,182,997
1,10,27,2,2049,9,112,20,508
1,11,16,3,941,11,20,161,1946
0,3,17,4,1231,15,139,89,383
0,11,1,2,917,20,65,205,156
0,11,11,6,1810,9,20,261,552
0,11,19,6,1357,21,276,210,342
0,3,19,6,532,8,286,20,406
0,10,20,4,1937,22,140,88,802
0,7,3,2,915,23,291,159,365
0,9,13,2,1357,21,180,221,861
0,1,7,6,1909,19,39,138,413
1,4,21,3,1045,17,82,259,637
0,9,23,5,1410,16,123,166,610
0,2,30,6,835,19,159,138,2066
0,6,23,5,1423,2,151,213,1162
0,12,12,5,1638,17,249,161,109
0,6,6,1,735,15,20,184,332
0,9,29,2,600,4,263,155,95
1,8,15,1,1754,21,50,256,495
0,2,28,4,709,8,169,20,453
0,10,13,4,753,8,258,154,2421
0,6,30,2,1200,9,218,266,630
0,3,13,7,838,17,161,216,49
1,4,1,5,1743,14,97,213,273
0,2,19,4,1858,20,271,159,226
0,2,29,6,1742,17,63,82,1201
0,8,17,2,1800,15,119,89,288
0,7,14,4,1645,21,133,249,192
0,7,27,3,1034,2,221,213,678
0,12,30,4,645,21,180,50,787
0,7,5,4,1601,6,140,180,853
1,11,9,3,2134,11,20,81,547
1,8,8,1,1250,9,20,219,247
0,10,16,7,1725,3,149,131,216
0,6,30,2,908,16,75,238,390
0,4,10,7,850,21,207,270,371
0,1,3,3,1719,17,32,266,387
1,6,16,4,1325,9,302,20,589
0,11,25,3,558,6,22,139,140
1,4,30,4,1836,15,199,89,312
1,3,23,5,2030,6,166,139,1416
1,4,31,5,1040,11,159,20,1747
0,2,20,5,1710,19,213,39,867
1,2,26,3,1714,8,20,83,732
0,6,28,1,2039,16,75,30,906
0,2,19,3,1742,2,83,258,1464
0,7,7,5,1727,11,20,228,272
0,3,29,2,1954,20,65,1,481
1,11,5,6,1350,21,249,37,1751
0,5,16,3,1958,8,194,20,302
0,3,3,6,1644,16,239,154,426
1,9,30,4,2130,22,65,63,430
0,7,21,4,853,19,259,221,2521
0,5,16,4,2010,23,166,138,229
0,3,1,3,1445,6,140,83,224
0,6,21,2,1530,21,212,207,361
0,2,17,1,1018,13,222,270,338
1,7,12,7,1345,15,201,213,334
0,11,23,3,1428,11,20,153,270
0,11,5,6,1656,16,30,75,906
1,9,17,5,1548,15,66,89,155
0,12,11,1,615,2,50,189,946
1,4,16,6,1101,14,302,83,281
0,7,11,2,841,2,189,83,1121
0,6,1,2,727,15,276,184,256
0,7,5,3,2102,18,182,83,797
0,8,21,7,2219,15,89,109,56
1,6,16,4,2033,8,286,20,406
0,2,18,3,801,19,259,161,337
0,8,23,3,1333,17,230,266,521
0,9,14,3,950,2,286,189,204
0,1,7,7,555,9,245,20,749
0,7,6,5,1620,8,217,20,545
1,11,30,2,905,16,75,22,958
0,10,17,1,1735,6,99,248,2425
1,4,17,7,1200,9,165,20,503
0,3,9,4,1735,19,82,207,957
0,11,19,5,1803,17,142,266,188
0,2,31,7,606,2,201,83,852
0,1,26,2,1712,15,140,201,1034
1,8,1,7,1715,22,11,139,190
0,12,8,6,1324,23,222,253,509
0,9,8,4,948,9,20,97,350
1,9,2,5,903,15,89,166,501
0,5,1,2,1509,8,75,48,410
0,9,7,3,742,6,271,99,2433
0,9,20,2,637,15,89,166,501
0,12,24,6,2125,17,267,71,320
0,4,12,5,1000,8,145,20,432
0,2,22,6,1415,21,161,290,451
0,9,1,3,1630,6,289,139,429
0,6,14,1,1756,15,89,14,488
0,2,27,3,920,16,75,88,505
0,5,5,1,552,4,161,257,954
0,9,18,6,1750,21,78,3,580
1,3,13,7,2145,13,159,248,258
1,9,24,4,1510,21,188,50,377
0,1,26,3,925,21,148,217,1052
0,12,16,5,714,17,252,161,89
0,7,13,4,1502,15,201,81,931
0,12,6,3,1452,6,166,139,1416
1,12,29,3,2140,22,63,201,622
0,1,9,2,812,2,213,91,1007
0,9,30,4,1048,5,217,154,1028
0,9,9,5,839,16,180,75,756
0,2,9,1,1727,2,213,83,802
0,10,23,7,1950,17,198,258,77
1,7,18,2,1900,23,139,22,1297
0,8,1,7,1337,22,140,122,986
1,12,31,6,1713,16,75,57,278
0,10,29,5,637,21,182,225,402
0,8,16,2,2030,21,78,132,239
0,6,3,6,1734,8,20,135,151
0,12,30,4,1301,4,258,268,605
0,1,5,5,638,16,209,75,756
0,2,27,4,1219,21,133,50,1246
1,6,2,5,1600,21,222,159,256
0,12,7,5,616,22,257,99,642
0,11,10,4,1946,22,99,50,169
